"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11001A00-",-0.444724103563301,12078,7
"11001A01-",-0.742679623558183,15886,9
"11001A020",-0.815132617672514,16916,10
"11001A030",-0.500092696658179,12706,7
"11001A042",-0.890675471764701,18483,10
"11001A052",-0.852394398273637,17555,10
"11001A063",-0.839913601333539,17337,10
"11001A074",-0.114572747830671,8678,5
"11001A091",-0.799465572755463,16641,9
"11001A0MA",0.293450162055922,5427,3
"11001A0PA",-0.54370138830646,13283,8
"11001A10-",-0.277106952644158,10229,6
"11001A173",-0.485461295927617,12545,7
"11001A190",-0.638785212198411,14471,8
"11001A20-",-0.765449814676976,16176,9
"11001A21-",-0.768578744059412,16223,9
"11002A00-",-0.613029522894569,14144,8
"11002A01-",-0.496325910727753,12656,7
"11002A02-",-0.698329138685284,15299,9
"11002A03-",-0.380119737258255,11371,7
"11002A04-",-0.531551465420669,13124,7
"11002A05-",-0.599112124633605,13984,8
"11002A10-",-0.745871147836348,15928,9
"11002A11-",-0.523054028437426,13026,7
"11002A12-",-0.718639286882348,15546,9
"11002A13-",-0.526210166740569,13065,7
"11002A14-",-0.774773683100559,16299,9
"11002A15-",-0.638990606635467,14476,8
"11002A21-",-0.585154174545201,13801,8
"11002A22-",-0.669106363479748,14889,8
"11002B701",-0.652550357477803,14651,8
"11002B71-",-0.75593081955677,16056,9
"11002B721",-0.826236186930851,17107,10
"11002B73-",-0.814178808722434,16889,10
"11002B742",-0.742929085846903,15890,9
"11002B752",-0.828602903005475,17143,10
"11002B782",0.0634579415839466,7165,4
"11002B791",-0.8487930215273,17477,10
"11002B813",-0.868510027182616,17868,10
"11002B824",-0.697762603050503,15283,9
"11002C20-",-0.527316846937743,13075,7
"11002C21-",-0.627494931822797,14340,8
"11002C22-",-0.512116446535768,12869,7
"11002C23-",-0.533739199627074,13155,8
"11002C24-",-0.409131864262198,11694,7
"11002C25-",-0.700419790266127,15332,9
"11002C31-",-0.801135141858149,16668,9
"11002C41-",-0.284509034276538,10325,6
"11002C42-",0.210588914025979,6013,4
"11002C43-",0.133019418447403,6609,4
"11002C44-",0.281672751820538,5518,3
"11002C45-",0.100246509772634,6873,4
"11002D30-",-0.69403492052523,15239,9
"11002D31-",-0.68858143438648,15153,9
"11002D32-",-0.695644547394066,15255,9
"11002D33-",-0.68323353059319,15079,9
"11002D34-",-0.250569042950029,9960,6
"11002D35-",-0.437523123423766,11993,7
"11002D38-",1.19385060743994,1355,1
"11002D41-",-0.376163401629433,11333,7
"11002D42-",-0.526550348148167,13070,7
"11002E122",-0.74523845812649,15919,9
"11002E131",-0.615490569249504,14171,8
"11002E14-",-0.477587766973274,12445,7
"11002E15-",-0.516268545398378,12924,7
"11002E50-",-0.400717702021615,11600,7
"11002E521",-0.00468086975803758,7737,5
"11002E53-",-0.394835092432248,11543,7
"11002E551",-0.643508264694253,14533,8
"11002E5MJ",-0.812566068260009,16864,9
"11002F11-",-0.5028785595631,12746,7
"11002F12-",-0.606503299786607,14069,8
"11002F21-",-0.777879083213304,16336,9
"11002F223",-0.727952318532622,15682,9
"11002F60-",0.333121743933403,5150,3
"11002F61-",0.174869710939153,6281,4
"11002F62-",-0.128147911220775,8822,5
"11002F64-",-0.747069773856595,15942,9
"11002F65-",-0.444222014253094,12069,7
"11002G51-",-0.514617196131132,12903,7
"11002G522",0.0187605393738315,7537,5
"11002G53-",-0.730087595731163,15715,9
"11002G54-",-0.765256328336165,16172,9
"11002G552",-0.767893115005146,16213,9
"11002G59-",-0.871496476508629,17928,10
"11002G72-",-0.799752608502591,16648,9
"11002G73-",-0.86508958781659,17787,10
"11002G74-",-0.873405730319545,17969,10
"11002G75-",-0.835340184301234,17263,10
"11002G780",-0.856808491654415,17618,10
"11002H40-",-0.0269673881366808,7948,5
"11002H41-",-0.101124819609341,8569,5
"11002H43-",-0.208098396614021,9598,6
"11002H44-",0.239873793441385,5799,4
"11002H83-",0.0366994113263431,7403,4
"11002H84-",0.0375859687285543,7395,4
"11002H8MJ",-0.810939905425755,16821,9
"11002J072",-0.740135530730024,15855,9
"11002J80-",-0.707993409220283,15422,9
"11002J81-",-0.223632650715349,9719,6
"11002J820",-0.23292862100927,9794,6
"11002J83-",-0.363563298161694,11216,6
"11002J84-",-0.739212426327731,15842,9
"11002J85-",-0.588338964000485,13845,8
"11002J873",0.0634579415839466,7165,4
"11002J901",-0.554885802116153,13429,8
"11002J912",-0.739206912360816,15841,9
"11002J923",-0.63211231621757,14394,8
"11002J932",-0.704695703725967,15388,9
"11002J94-",0.254626176586873,5692,4
"11002K171",-0.177600922983188,9295,5
"11002K173",-0.812566068260009,16864,9
"11002K214",0.214529921470787,5985,4
"11002L000",0.128920305928415,6647,4
"11002L011",-0.080659177735235,8382,5
"11002L022",1.31640117083617,1106,1
"11002L090",0.0174783262853674,7547,5
"11002L100",0.0384920275341738,7389,4
"11002L111",-0.0705074082327654,8289,5
"11002L122",-0.78785074773485,16471,9
"11002L18-",1.16099131407615,1426,1
"11002P00-",0.147289250036624,6485,4
"11002P01-",0.150018695115995,6459,4
"11002P02-",0.297365971019322,5401,3
"11002P03-",-0.216288282434164,9661,6
"11002P04-",-0.768461672952516,16222,9
"11002P05-",-0.640697248013195,14499,8
"11002P100",-0.356488486350841,11145,6
"11002P111",-0.343991812781409,10995,6
"11002P12-",-0.54267311363139,13265,8
"11002P20-",-0.193037477953701,9452,6
"11002P21-",-0.643079144317225,14528,8
"11002P22-",-0.660478980513301,14773,8
"11002P23-",-0.571326828105419,13635,8
"11002P242",-0.741540790954832,15872,9
"11002P500",-0.327851535869717,10810,6
"11002P589",-0.759865431032244,16105,9
"11002P590",-0.562649330067184,13520,8
"11002Q001",0.28138698424133,5522,3
"11002Q012",0.160938563860875,6388,4
"11002Q021",0.403014650768355,4674,3
"11002Q03-",-0.61527675230343,14167,8
"11002Q04-",-0.0552626641654806,8163,5
"11002Q052",1.13442744517944,1490,1
"11002Q072",1.03516251393542,1777,1
"11002Q091",1.60204244204568,714,1
