"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11001A00-",-0.457590917577187,12138,7
"11001A01-",-1.04934731967964,17138,10
"11001A020",-1.07971038257238,17307,10
"11001A030",-1.02165540362584,16974,10
"11001A042",-1.22187362188472,17834,10
"11001A052",-1.1191460045935,17527,10
"11001A063",-1.15106851390326,17655,10
"11001A074",-0.217058629682737,9740,6
"11001A081",-0.460859791904984,12167,7
"11001A091",-0.920094998030178,16207,10
"11001A10-",-0.666827996176099,14129,8
"11001A173",-0.633629974499781,13823,8
"11001A190",-1.0165773319875,16933,10
"11001A20-",-1.17918588268033,17745,10
"11001A21-",-0.864364015342112,15773,9
"11002A00-",0.257843190098728,5621,4
"11002A01-",0.365332577437478,4882,3
"11002A02-",0.197715947646546,6028,4
"11002A03-",0.290294130898133,5403,4
"11002A04-",0.114627006283241,6713,4
"11002A05-",0.839140529530201,2362,2
"11002A10-",-0.541034346027703,12965,8
"11002A11-",0.420971365529154,4493,3
"11002A12-",-0.43290558083188,11874,7
"11002A13-",0.503483384629545,3988,3
"11002A14-",-0.619638205438826,13702,8
"11002A15-",1.24520048062874,1204,1
"11002A21-",0.23549117992533,5779,4
"11002A22-",0.796443156448177,2513,2
"11002B701",-0.833993420666236,15550,9
"11002B71-",-0.991723358469976,16755,10
"11002B721",-1.11704178839291,17516,10
"11002B73-",-0.424603831292272,11794,7
"11002B742",-1.09106194371098,17384,10
"11002B752",-1.06280550610059,17215,10
"11002B813",-1.1997916472284,17793,10
"11002C20-",0.382500794068895,4762,3
"11002C21-",0.289371132646572,5412,4
"11002C22-",1.06579246233133,1613,1
"11002C23-",-0.0473394245127987,8135,5
"11002C24-",0.398555216589621,4648,3
"11002C25-",-0.870737910902432,15833,9
"11002C31-",-1.1069928114114,17464,10
"11002C41-",0.658457291751081,3140,2
"11002C42-",0.640457116504049,3223,2
"11002C43-",0.300258171831205,5306,3
"11002C44-",0.736297996577785,2775,2
"11002C45-",0.928506356398383,2049,2
"11002D30-",-0.918079473113266,16190,10
"11002D31-",-0.977928229367984,16661,10
"11002D32-",-0.780017545975111,15100,9
"11002D33-",-0.889702562562021,15970,9
"11002D34-",0.0600144446527263,7169,5
"11002D35-",0.0693610396483753,7085,4
"11002D38-",2.33610164614683,207,1
"11002D41-",-0.0503356249909111,8169,5
"11002D42-",-0.620718011831583,13707,8
"11002E122",0.00187262234000379,7691,5
"11002E131",1.3210429973913,1072,1
"11002E14-",0.461985680103158,4241,3
"11002E15-",-0.122284960723174,8826,5
"11002E50-",0.349989995638425,4977,3
"11002E521",0.195530436662746,6048,4
"11002E53-",0.107373991263628,6771,4
"11002E551",-0.506625195682714,12646,8
"11002F11-",-0.267204656890179,10233,6
"11002F12-",1.37127440304049,985,1
"11002F21-",-1.00528457805077,16851,10
"11002F223",-0.641190115062886,13896,8
"11002F60-",0.234472085542484,5787,4
"11002F61-",0.255740530346497,5635,4
"11002F62-",0.989766138906479,1846,2
"11002F64-",-0.777011714780322,15072,9
"11002F65-",-0.508901638404977,12672,8
"11002F680",-0.989468459714317,16742,10
"11002G51-",-0.37724510883829,11310,7
"11002G522",-0.0188654319422405,7880,5
"11002G53-",-0.791206331467845,15197,9
"11002G54-",-0.909415715018901,16124,10
"11002G552",-0.952414429755654,16477,10
"11002G59-",-1.02890583301715,17011,10
"11002G72-",-0.984223839412594,16705,10
"11002G73-",-1.01913007672078,16951,10
"11002G74-",-1.16879492066036,17721,10
"11002G75-",-1.16392052849609,17706,10
"11002G780",-0.623099956704228,13735,8
"11002H40-",0.62731673207301,3286,2
"11002H41-",1.26586944170369,1170,1
"11002H43-",0.850279282508752,2324,2
"11002H44-",1.19305694944355,1310,1
"11002H83-",0.771560437175171,2628,2
"11002H84-",2.0108857526736,352,1
"11002H89-",-0.363162676715451,11162,7
"11002J072",1.7600560337005,509,1
"11002J80-",-0.845998436687306,15650,9
"11002J81-",-0.405611146927239,11580,7
"11002J820",1.4051329508778,922,1
"11002J83-",1.30904006224795,1090,1
"11002J84-",1.32139688434588,1070,1
"11002J85-",1.14261975297553,1426,1
"11002J901",-0.977949818662705,16663,10
"11002J912",-1.0111607368016,16894,10
"11002J923",-1.09044673266286,17383,10
"11002J932",-0.853578139851158,15688,9
"11002J94-",-0.393789597519765,11472,7
"11002K171",-0.514414288245789,12735,8
"11002K172",0.460593112282478,4248,3
"11002K173",-0.953692245081866,16488,10
"11002K174",-0.00989944954617231,7808,5
"11002K214",1.47692084030574,817,1
"11002L000",-0.0101553881728698,7813,5
"11002L011",-0.174617647735336,9346,6
"11002L022",0.0973237247051038,6858,4
"11002L090",-0.648091885026182,13954,8
"11002L100",-0.341636423353453,10946,7
"11002L111",-0.253904983220059,10114,6
"11002L122",-1.07095282201274,17256,10
"11002L17-",0.116254272953205,6700,4
"11002L18-",-1.18725273518524,17760,10
"11002P00-",-0.103309687678649,8647,5
"11002P01-",0.116199633719946,6701,4
"11002P02-",-0.130502463171058,8905,5
"11002P03-",-0.52588108304154,12833,8
"11002P04-",-1.04262742841161,17092,10
"11002P05-",-0.980574073419463,16681,10
"11002P100",-0.489116475766208,12462,7
"11002P111",-0.792187175358495,15208,9
"11002P12-",-0.977943442355673,16662,10
"11002P20-",-0.255627455061168,10126,6
"11002P21-",-0.931919541629474,16317,10
"11002P22-",-1.04073325909809,17081,10
"11002P23-",-0.902281054685478,16070,9
"11002P242",-1.0377967303063,17063,10
"11002P392",2.88618074851828,86,1
"11002P500",-0.302273491677726,10551,6
"11002P589",-0.761826441889249,14954,9
"11002P590",-0.367881000491789,11213,7
"11002Q001",0.0593084668423808,7174,5
"11002Q012",0.177849846854734,6190,4
"11002Q021",0.125105967936471,6623,4
"11002Q03-",-0.836929606984093,15578,9
"11002Q04-",-0.57135060198306,13253,8
"11002Q052",0.789067517617101,2553,2
"11002Q072",0.882157486252281,2211,2
"11002Q091",0.0288975106682932,7449,5
"11002Q10-",0.236388031727547,5774,4
"11002Q11-",-0.451141162861141,12073,7
"11002Q12-",-0.147773818438884,9068,6
"11002Q13-",-0.635954522082911,13838,8
"11002Q14-",-0.45981897343436,12156,7
"11002Q17-",1.10422457304111,1516,1
"11002Q201",-1.00400381658566,16835,10
"11002Q212",-1.08490670985507,17346,10
"11002Q222",-1.18065772501984,17750,10
"11002Q233",-1.09359128144872,17404,10
"11002Q242",-1.16996714973693,17723,10
"11002Q291",-1.14531772115018,17636,10
"11002Q30-",-0.0256647342453129,7940,5
"11002Q39-",0.609740940120387,3356,2
"11002Q49-",2.40734024309929,185,1
"11002R00-",0.359528791060544,4917,3
"11002R01-",0.17298395403576,6238,4
"11002R02-",-0.113335424622746,8751,5
"11002R03-",-0.19808296343445,9567,6
"11002R04-",-0.0543580068549137,8215,5
"11002R05-",-0.387844041331591,11418,7
"11002R099",0.421216852317692,4491,3
"11002R101",0.388017038792816,4727,3
"11002R110",-0.855166602128979,15705,9
"11002R12-",0.459095099161411,4257,3
"11002R13-",0.299008167746684,5322,3
"11002R172",0.639760945267612,3230,2
"11002R180",-0.959726491409834,16530,10
"11002R19-",-0.896946740343923,16032,9
"11002R20-",-0.762666033770476,14967,9
"11002R21-",-1.02756710986966,17002,10
"11002R22-",-0.858551856112173,15731,9
"11002R23-",-0.827873294363939,15497,9
"11002R24-",-0.182048854805688,9412,6
"11002R28-",-1.20251008256561,17798,10
"11002R30-",0.351406401137359,4963,3
"11002R31-",-0.0342517155615104,8034,5
"11002R32-",-0.67384490589238,14195,8
"11002R33-",-0.265484731103584,10220,6
"11002R34-",0.48171062574554,4128,3
"11002R35-",-0.85646752275904,15712,9
"11002R39-",1.00773865018442,1787,1
"11002R401",-0.571590676182154,13257,8
"11002R41-",-0.818041054001157,15427,9
"11002R42-",-0.604095992314399,13544,8
"11002R43-",-0.686536624861009,14325,8
"11002R44-",-0.0744273105724726,8391,5
"11002R47-",-0.0316703349184043,8005,5
"11002R482",-0.190606529319669,9492,6
"11002S00-",0.0304573765740668,7439,5
"11002S01-",0.364035032996417,4891,3
"11002S02-",0.309837284734376,5242,3
"11002S03-",0.641787001840001,3217,2
"11002S04-",-0.11282694347861,8741,5
"11002S05-",0.546543309839471,3728,3
"11002S10-",-0.461473750881195,12175,7
"11002S11-",-0.810510648597078,15349,9
"11002S12-",-0.426275856093917,11813,7
"11002S13-",-0.471409684486537,12269,7
"11002S19-",-0.660600481255125,14071,8
"11002S20-",-1.09014741926842,17381,10
"11002S28-",-1.06442524916616,17223,10
"11002S30-",0.76692023929766,2649,2
"11002S31-",0.715254296833712,2853,2
"11002S41-",-0.11454913521003,8763,5
"11002S42-",-0.755070092906856,14894,9
"11002S43-",-0.602464203297887,13530,8
"11002T00-",0.794177038563947,2525,2
"11002T01-",0.503816485175521,3983,3
"11002T02-",0.44116530553301,4371,3
"11002T03-",-0.0169017584048281,7863,5
"11002T04-",-0.941262783677636,16389,10
"11002T05-",0.472188591832729,4180,3
"11002T09-",-1.12129954273511,17541,10
"11002T10-",-0.874749877152388,15867,9
"11002T111",-1.05211203443745,17148,10
"11002T12-",-0.812959922732242,15373,9
"11002T13-",-0.995491402172279,16784,10
"11002T14-",-0.901709099719688,16067,9
"11002T180",-0.89679094329002,16030,9
"11002T20-",-0.363895201951734,11169,7
"11002T21-",-0.0990219123341051,8611,5
"11002T22-",0.00751966346134419,7636,5
"11002T23-",-0.445314832086783,12014,7
"11002T24-",0.333176269989106,5094,3
"11002T25-",-1.0520449773825,17147,10
"11002T30-",-0.0348592827174613,8040,5
"11002T39-",0.184951653347458,6141,4
"11002T412",-1.08480516191,17345,10
"11002T42-",-1.03209784836021,17029,10
"11002U00-",-0.697950060572922,14425,9
"11002U01-",-0.295266548529188,10482,6
"11002U02-",-0.494443621511173,12519,7
"11002U03-",-0.210767136349034,9684,6
"11002U09-",-0.352029500810592,11055,7
"11002U10-",-0.537109859504275,12930,8
"11002U11-",-0.735386597989993,14736,9
"11002U20-",-0.62211426233392,13721,8
"11002U21-",-0.135904564722306,8962,6
"11002U22-",0.39185626293833,4699,3
"11002U30-",-0.98039243088454,16678,10
"11002U31-",-0.330297467021435,10829,7
"11002U32-",-1.12271929717918,17547,10
"11002U33-",-1.09231153050558,17394,10
"11002U40-",-1.09252725145786,17396,10
"11002U41-",-0.986154483934634,16720,10
"11002U43-",-0.541211136795903,12968,8
"11002U47-",-0.858584526555239,15732,9
"11002U57-",-0.318472337455798,10716,6
"11002U59-",0.0769171980389826,7029,4
"11002U60-",-0.640564135610138,13886,8
"11002V00-",-0.0585208587194302,8242,5
"11002V01-",-0.152683994845787,9122,6
"11002V02-",-0.696440649451195,14407,9
"11002V03-",-0.107012979323543,8688,5
"11002V04-",0.0102771452027855,7604,5
"11002V05-",0.102875252533929,6811,4
"11002V07-",-0.0333756513748871,8021,5
"11002V099",-0.04299729773931,8104,5
"11002V10-",-0.0768512329348507,8412,5
"11002V11-",-0.523589467260941,12806,8
"11002V12-",0.320074428158073,5179,3
"11002V13-",-0.402742411412965,11559,7
"11002V14-",0.112766824276253,6723,4
"11002V19-",-0.259848983535236,10168,6
"11002V20-",-0.76442823225613,14983,9
"11002V21-",-0.0268508171642371,7953,5
"11002V22-",-0.970375519659011,16601,10
"11002V23-",-1.10323702670562,17450,10
"11002V29-",-1.17704283459795,17739,10
"11002V301",0.532118020909832,3825,3
"11002V312",0.0163752202910452,7547,5
"11002V322",-1.15165090968251,17659,10
"11004A00-",-0.233780570126123,9905,6
"11004A01-",-0.805196549342622,15314,9
"11004A02-",-1.011442931569,16899,10
"11004A03-",-0.165529977867373,9267,6
"11004A081",-0.444836489168049,12011,7
"11004A09-",0.954188040981872,1963,2
"11004A10-",-0.71022364813231,14526,9
"11004A18-",-0.270193052999335,10251,6
"11004A19-",-0.76031169511908,14940,9
"11004A21-",-0.136270239450738,8965,6
"11004A220",-0.621700837097916,13717,8
"11004A23-",-1.13744653800613,17604,10
"11004A242",-0.896747827790163,16029,9
"11004A29-",0.00914292881911209,7614,5
"11004B000",-0.271955817959338,10266,6
"11004B010",-0.724901511637129,14633,9
"11004B022",-1.19602145841084,17785,10
