"CD_RES_SECTOR","SCORE","RANK","DECILE"
"11002P590",-0.887925374463763,16422,9
"11002Q001",0.690057822646811,2987,2
"11002Q012",0.540978082080442,3833,3
"11002Q021",1.00403700747055,1680,1
"11002Q03-",-0.4407475412503,12767,7
"11002Q04-",-0.06535955181428,8829,5
"11002Q052",0.576660472884503,3596,2
"11002Q072",1.44785752304716,682,1
"11002Q091",-0.217594673631305,10458,6
"11002Q10-",0.0639471686531174,7561,5
"11002Q11-",-0.572046109910652,14028,8
"11002Q12-",0.0408629925398442,7775,5
"11002Q13-",0.212487785188488,6232,4
"11002Q14-",0.106816552108549,7156,4
"11002Q17-",0.377091250365308,4883,3
"11002Q201",-0.00375979212404884,8205,5
"11002Q212",-0.149770383623884,9733,6
"11002Q222",-1.23003519173305,17718,10
"11002Q233",-0.49045123700747,13284,8
"11002Q242",-1.11098059735108,17367,10
"11002Q2AA",-1.4152728578572,18047,10
"11002Q30-",-0.306257793176114,11385,7
"11002Q39-",-0.110294412127718,9330,6
"11002R00-",0.396097917906242,4758,3
"11002R01-",0.260830428171954,5829,4
"11002R02-",0.668996115158548,3088,2
"11002R03-",0.330063962815451,5259,3
"11002R04-",0.360553725749023,5017,3
"11002R05-",-0.142967571113598,9676,6
"11002R101",0.646234834617204,3224,2
"11002R110",0.121460128330108,7025,4
"11002R12-",0.650165121246098,3201,2
"11002R13-",0.652563237271769,3178,2
"11002R180",0.444194482873379,4428,3
"11002R19-",0.570427491959968,3638,2
"11002R20-",0.218340084444737,6180,4
"11002R21-",0.0642534647142975,7558,5
"11002R22-",0.104004842480699,7183,4
"11002R23-",0.0175607136241009,8017,5
"11002R24-",0.236741627453686,6026,4
"11002R28-",1.47653390477848,643,1
"11002R30-",0.436070160423482,4487,3
"11002R31-",0.439605011917422,4465,3
"11002R32-",0.340679544977803,5176,3
"11002R33-",0.373466909967156,4913,3
"11002R34-",0.86042702805714,2162,2
"11002R35-",0.215025278784945,6211,4
"11002R39-",1.97030337043356,245,1
"11002R401",0.147001760693402,6788,4
"11002R41-",-0.750979121878962,15526,9
"11002R42-",-0.139748734327514,9641,6
"11002R43-",-0.220672952376605,10489,6
"11002R44-",-0.0385422699594407,8535,5
"11002R47-",-0.183328880163795,10090,6
"11002R482",-0.0175115370774591,8341,5
"11002S00-",0.637109982111955,3262,2
"11002S01-",1.27162849941585,1002,1
"11002S02-",0.818701327240947,2321,2
"11002S03-",0.928069607137923,1911,2
"11002S04-",0.603415686248139,3450,2
"11002S05-",0.93363076760575,1897,2
"11002S10-",0.504902142075864,4025,3
"11002S11-",0.0291105433876374,7896,5
"11002S12-",0.176323721118628,6536,4
"11002S13-",0.302166893550348,5492,4
"11002S19-",-0.359089441577817,11948,7
"11002S20-",0.119383910201062,7043,4
"11002S28-",0.47882871143813,4211,3
"11002S30-",0.993709624320297,1705,1
"11002S31-",0.916825254062002,1947,2
"11002S41-",0.398422225489421,4740,3
"11002S42-",0.292676693692421,5561,4
"11002S43-",0.246528273320885,5938,4
"11002T00-",0.846119548924801,2210,2
"11002T01-",0.877022523035282,2105,2
"11002T02-",1.01100127163608,1663,1
"11002T03-",0.452323477009445,4388,3
"11002T04-",-0.128323418020985,9521,6
"11002T05-",0.697378024929771,2943,2
"11002T09-",0.352168514565579,5080,3
"11002T10-",-0.55994585092033,13925,8
"11002T111",0.2257678434445,6122,4
"11002T12-",-0.361255928993925,11970,7
"11002T13-",-0.530587667138748,13659,8
"11002T14-",-0.279914421655943,11138,7
"11002T180",-0.903096177499965,16499,10
"11002T20-",0.26130740652264,5825,4
"11002T21-",0.508731781236559,4005,3
"11002T22-",0.311303969705862,5423,3
"11002T23-",-0.130738295726801,9549,6
"11002T24-",0.744942016155763,2692,2
"11002T25-",-1.61051822653265,18200,10
"11002T30-",0.0952086088395622,7270,4
"11002T39-",0.158959914707961,6688,4
"11002T412",-0.0759526356043479,8959,5
"11002T42-",-0.0971906368059672,9185,6
"11002U00-",-0.144819928202388,9693,6
"11002U01-",-0.0948430579733775,9169,6
"11002U02-",0.163119686879917,6652,4
"11002U03-",-0.456864578062489,12926,8
"11002U09-",-0.0384360157833727,8534,5
"11002U10-",-0.282532062639982,11161,7
"11002U11-",-0.708062712172178,15190,9
"11002U20-",0.173726855886705,6556,4
"11002U21-",0.11259863538193,7107,4
"11002U22-",0.570554479183496,3636,2
"11002U30-",-0.27832624218355,11123,7
"11002U31-",-0.342184418374025,11771,7
"11002U32-",-1.47789071166604,18108,10
"11002U33-",-0.358646341935871,11945,7
"11002U40-",-0.899459930715901,16482,10
"11002U41-",-0.461749477152091,12984,8
"11002U43-",-0.871309142240261,16323,9
"11002U47-",-1.08007743958134,17262,10
"11002U57-",0.14341495925933,6820,4
"11002U5MA",0.913699273040449,1958,2
"11002U60-",-0.4383864272341,12738,7
"11002U69-",1.1052831723318,1373,1
"11002V00-",0.09063610058342,7310,4
"11002V01-",0.0389777988233756,7793,5
"11002V02-",0.376089385373931,4893,3
"11002V03-",0.116758692881064,7065,4
"11002V04-",0.068397846488191,7511,5
"11002V05-",0.126146191346941,6976,4
"11002V07-",0.860773135332427,2161,2
"11002V099",-0.365917483651211,12032,7
"11002V10-",0.194461206910613,6379,4
"11002V11-",0.0874976526619797,7339,5
"11002V12-",0.696970490244078,2947,2
"11002V13-",0.280294878245882,5661,4
"11002V14-",0.15694695578394,6711,4
"11002V19-",0.691415839765345,2984,2
"11002V20-",-0.163099250052553,9873,6
"11002V21-",1.51256691394037,602,1
"11002V22-",-0.490311127309073,13282,8
"11002V23-",-0.649283480822011,14720,9
"11002V29-",-0.267711060063788,11010,7
"11002V301",1.13658758241923,1294,1
"11002V312",-0.663031143578666,14836,9
"11002V322",-1.09598850586462,17319,10
"11002V373",-0.616349281324998,14427,8
"11004A00-",-0.484722386699387,13236,8
"11004A01-",-0.81391702870983,15992,9
"11004A02-",-0.928709923449345,16623,10
"11004A03-",-0.376624846827369,12153,7
"11004A081",-0.821199021216924,16048,9
"11004A09-",-0.215983557173234,10437,6
"11004A10-",-0.458209883507601,12943,8
"11004A18-",-0.604503066250872,14330,8
"11004A19-",-0.79424866316274,15828,9
"11004A21-",-0.638837594080912,14638,9
"11004A220",-0.484549683117925,13232,8
"11004A23-",-1.28035415334153,17825,10
"11004A242",-1.15511401787882,17527,10
"11004A29-",0.121894020990641,7019,4
"11004B000",-0.720504844562548,15280,9
"11004B010",-1.21401800690549,17684,10
"11004B022",-1.54312214288884,18158,10
"11004B081",-1.20219030078641,17652,10
"11004B090",-0.609493420520335,14374,8
"11004B19-",-0.907597084092325,16523,10
"11005A00-",0.210411660297806,6252,4
"11005A01-",0.182233709120133,6485,4
"11005A02-",-0.0253069341732107,8416,5
"11005A03-",0.282624485349356,5637,4
"11005A04-",1.06613079714621,1490,1
"11005A051",1.15934911112378,1228,1
"11005A072",-0.53627131387664,13717,8
"11005A093",-0.0426406518775663,8575,5
"11005A10-",0.199003640682415,6347,4
"11005A184",0.680320209448557,3038,2
"11005A191",0.583194938602528,3559,2
"11005A20-",0.202212117024336,6320,4
"11005A211",-0.36121265193366,11969,7
"11005A22-",-0.459644552953207,12959,8
"11005A232",0.284343488186807,5622,4
"11005A242",-1.07851265031636,17257,10
"11005A25-",-1.40779746529013,18038,10
"11005A30-",0.246102176828419,5941,4
"11007A00-",0.183201832954194,6473,4
"11007A01-",-0.216664077581443,10446,6
"11007A020",-1.01990358580783,17046,10
"11007A03-",-0.338350292397886,11715,7
"11007A04-",-0.25061108619592,10821,6
"11007A080",0.0314355530491623,7870,5
"11007A09-",0.0942754671644384,7280,4
"11008A00-",-0.399994030308943,12367,7
"11008A01-",0.0390210880260931,7792,5
"11008A020",-0.48927778480371,13273,8
"11008A03-",-0.819843419560187,16032,9
"11008A04-",-0.528926749745361,13642,8
"11008A0AA",-1.45540792760273,18085,10
"11008A0BJ",-1.08001134751091,17261,10
"11008A0PA",-1.16074305131361,17546,10
"11008A10-",-0.253871465162624,10856,6
"11008A11-",-0.645023360582146,14686,9
"11008A12-",-0.672517497401128,14920,9
"11008A19-",-1.47967436644694,18110,10
"11008A20-",-0.705360010949594,15168,9
"11008A21-",-0.649022918737305,14717,9
"11008A22-",-0.999793148819671,16942,10
"11008A283",-0.937907954811942,16663,10
"11008A30-",-0.319580930097594,11517,7
"11008A31-",-0.626554812909542,14519,8
"11008A32-",0.184045266780265,6468,4
"11008A332",-1.28798897669579,17846,10
"11008A381",-0.727345673859135,15339,9
"11008A3MB",-1.14954528652561,17506,10
"11008A3PB",-0.371640171209593,12090,7
"11008A40-",-0.848400021861479,16211,9
"11008A49-",-1.37451461724612,17996,10
"11008A500",-1.2747354394114,17819,10
"11008A510",-1.07780920702388,17254,10
"11008A59-",-1.35774979533318,17962,10
"11009A000",0.12813841355367,6954,4
"11009A01-",-0.171061857215408,9961,6
"11009A02-",-0.85802923441069,16264,9
"11009A03-",-0.215417941025897,10428,6
"11009A042",-1.10102544968862,17339,10
"11009A0AD",-0.456645190196287,12923,8
"11009A0MC",-0.98754025908227,16889,10
"11009A0PD",-0.536384151263391,13719,8
"11009A0QC",-0.181319504735654,10063,6
"11009A20-",-0.624699804749863,14501,8
"11009A21-",-0.748910882235519,15508,9
"11009A222",-1.13213085102154,17454,10
"11009A281",0.514078906710636,3972,3
"11009A29-",2.00014615943246,232,1
"11009A30-",-0.225400505943697,10542,6
"11009A38-",-0.593064672330262,14226,8
"11009A3AB",-0.153267508574162,9768,6
"11009A3PB",-0.103984709155401,9262,6
"11009A49-",0.041994198665118,7763,5
"11009A5AA",0.118062531984103,7054,4
"11009A5PA",-0.392048339961166,12297,7
"11009B00-",0.0477568823281035,7720,5
"11009B01-",-0.742186946587728,15464,9
"11009B02-",-0.149921114785398,9734,6
"11009B032",-0.724976098318473,15321,9
"11009B08-",-0.529797807884462,13647,8
"11009B091",-0.435342566059066,12702,7
"11009B18-",-0.232954516364351,10620,6
"11009B19-",-0.06039898451889,8778,5
"11009B20-",-0.320881820635937,11532,7
"11009B29-",-0.213805275042204,10410,6
"11009B2MA",-0.892962309915052,16453,9
"11009B2PA",-0.16458894110365,9886,6
"11009C00-",-0.877868160563026,16363,9
"11009C01-",-0.672663305951685,14921,9
"11009C020",-0.890511587183801,16441,9
"11009C03-",-0.586288369171599,14169,8
"11009C08-",-1.37447941830134,17995,10
"11009C090",-1.11758129681752,17401,10
"11013A00-",-0.428831889143074,12640,7
"11013A01-",-0.801373377835653,15892,9
"11013A02-",-0.639283924029057,14643,9
"11013A03-",-1.27377582391479,17817,10
"11013A040",-0.999888950095141,16944,10
"11013A050",-0.362378421384425,11987,7
"11013A101",-0.857365486716951,16258,9
"11013A11-",-0.514758841798227,13511,8
"11013A12-",-1.50704984404491,18134,10
"11013A132",-1.17676889706179,17594,10
"11013A142",-1.01045903084713,17001,10
"11013A181",-1.12705032243089,17438,10
"11013A19-",-0.128017429740352,9515,6
"11013A20-",-0.40091162662796,12373,7
"11013A21-",-0.479022390923415,13170,8
"11016A000",-0.788222975712237,15778,9
